time,name,type,content,scoreXM,scoreSNOW,scoreAVG
05月06日12:23,绚音law,微博普通,trumpTwitter治国有、东西中美贸易只要一天不签字就会有变数即使签了字也可能不做数话音刚落定向降准就来了想想上个月央妈为消除市场对流动性单边预期各种辟谣甚至报警此人真实地为推动我国政策落地作出巨大贡献心疼我的基…​,0.008430095,0.849129431,0.428779763
05月06日12:22,"玩克丝"" ",微博达人,trump一个Twitter发文，A股蒸发3万亿，相当于一个安徽省的GDP都没了。​,0.266372784,0.002085452,0.134229118
05月06日12:22,青灯黄卷了,微博普通,trumpTwitter草泥马的特傻批你有本事别说加税你直接加你奶奶的腿我看你美国股市能抗住不2武汉​,1.89E-05,0.055793293,0.027906094
05月06日12:22,confi,微博普通,以方为首的内部分子配合trump里应外合！扩大空方优势！恶意做空A股！你觉得会这么巧吗！刚刚方放开股指期货连跌一星期，然后五一假期结束前夜trump直接Twitter毁约！谈了这么久就差最后一次会面了！就这样乘机放大空方力量直接做空A股。按trump的逻辑只要A股跌，中国经济就没出路！所以在证监会内部绝对有敌对势力勾结！而且你注意下，方上台四年每次大跌前或者大跌中只要他一说话或者一出政策！市场必须大跌！按简历看，这货跟美国那方面接触极多啊，光一个留美经济学会长就让人没办法不联想到阴谋论！所以仁者见仁，大家对外的同时更多时候看看内部是否一致！,0.000435564,0.000832926,0.000634245
05月06日12:21,"月半夜时""",微博普通,感觉trump真像灭霸一样厉害，一条Twitter把大部分散户认为的股市是牛市直接打熊，厉害​,0.997172553,0.886111558,0.941642056
05月06日12:20,犇犇哒ye,微博普通,今日下跌原因已经找到：天津股侠和trump喊崩股市，一个是开盘前一条Twitter崩了汇率崩了开盘，一个是开盘后喊抄底瞬间引爆继续下探，两个人真牛逼🐮上证指数sh000001​,0.99999931,0.995856181,0.997927746
05月06日12:20,卜宇辰Yc,微博个人,//@是芒果呀呀呀:trump一条Twitter让中国股市1个半小时跌了5%,0.245493082,0.711006997,0.478250039
05月06日12:19,机车后座的,微博达人,A股大跌逾5%：沪指逼近2900点超200股跌停A股6日跳空低开，沪指、深成指、创业板指三大股指开盘失守60日均线，沪指跌破3000点关口，深成指跌破万点大关，创业板指跌破1600点关口。盘中，股指进一步下挫，目前沪指跌逾5%，逼近2900点。深成指、创业板指则跌逾6%，分别逼近9000点、1500点关口。盘面上逾3400只个股下跌，超200只个股跌停。（谢艺观）,0.967793232,1.11E-09,0.483896617
05月06日12:15,李雪爱与自,微博个人,小长假回来第1天交易日出现了一个不平凡的情况。凌晨trump在Twitter上发表了对中美贸易谈判的不满意，说要再把关税提高25%。话音刚落，全球股市出现震荡。直接影响到A股也是跳空低开100点，开盘随后在盘中继续下探，今天中午接近150点的下跌，直接把3000点箱体平台的低点打穿，这也是意料之中的事，因为从几周之前我已经提醒大家，4月份是做大头的位置和时间，一直提醒大家这里是要减仓减仓，那么听了我的预判都会提前做一个准备，特别是我说的第2波起来，量价已经出现了顶背离结构，北上资金连续逃出，这些信号在很多人鼓吹大牛市的情况下已经忽视视而不见了。其实我一直跟大家说这里没有大牛市，这里就是有的第一季度的反弹。那么当这个反弹结束之后，大盘会怎么上来就怎么下去，还是会以快速杀跌来做左青龙右白虎的结果，所以现在正是下跌的关键时候，加上今天又是地下节气时间窗口，配合利空消息一起往下打，那么什么时候才是个头？这里有一个非常经典的关键k线，大家一定要记住。就是什么时候出现放倍量的阳包阴k线这根k线的出现才能说止跌信号的到来。如果没有这个信号出现，大盘就会继续下跌，所以我之前一直提醒大家，如果要加仓就要看好大盘放量阳包阴的k线出现才能动手。缺了这个条件千万不要动手。现在这样的情况就要看下方2800点的缺口位置了,0.999999999,0.001134167,0.500567083
05月06日12:14,"德全慧敏""",微博普通,今天是立夏，却因trump一句Twitter恐吓，中国及整亚洲在短短几小时股市陷入寒冬…没有什么事难倒中国的，搞一搞基建，弄一弄旅游…牛市就回来了。哎自己都亏了股市股市低迷​,0.610574346,0.997213796,0.803894071
